"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"1879","d","3","1","1","105","28","16","65","1","3","0","1"
"1263","j","0","0","-1","106","19","29","56","0","3","1","1"
"1073","f","2","1","0","107","37","7","14","1","3","0","1"
"1435","k","3","0","1","108","41","53","79","1","3","1","1"
"1867","j","3","0","1","109","15","41","80","0","3","0","1"
"1225","d","2","1","0","110","21","89","3","0","3","0","1"
"null","null","-1","1","-1","111","58","24","30","1","3","0","1"
"341","k","0","0","-1","112","19","1","14","0","3","0","1"
"null","null","-1","0","-1","113","46","56","11","0","3","1","1"
"143","f","3","1","1","114","42","74","79","1","3","1","1"
"1278","f","2","1","0","115","42","44","84","1","3","0","1"
"1337","f","4","1","2","116","69","67","35","1","3","1","1"
"1303","f","4","1","2","117","67","9","51","0","3","1","1"
"802","k","0","0","-1","118","56","3","34","1","3","0","1"
"742","f","3","1","1","119","38","86","8","0","3","1","1"
"1543","k","3","0","1","120","14","49","54","0","3","1","1"
"1984","k","3","0","1","121","33","54","93","0","3","1","1"
"null","null","-1","1","-1","122","72","42","62","1","3","1","1"
"1828","f","2","1","0","123","61","73","18","0","4","1","1"
"1059","f","3","1","1","124","43","78","98","1","4","0","1"
"null","null","-1","1","-1","125","4","40","40","0","4","0","1"
"null","null","-1","0","-1","126","22","85","26","0","4","1","1"
"55","d","2","1","0","127","23","80","91","1","4","1","1"
"41","d","2","1","0","128","8","53","84","1","4","0","1"
"19","k","3","0","1","129","8","82","51","0","4","1","1"
"157","d","3","1","1","130","62","82","13","1","4","1","1"
"146","k","0","0","-1","131","59","18","37","1","4","0","1"
"71","k","0","0","-1","132","27","92","11","1","4","0","1"
"153","j","0","0","-1","133","11","75","70","1","4","1","1"
"53","k","0","0","-1","134","7","81","42","0","4","0","1"
"17","k","0","0","-1","135","34","37","57","1","4","0","1"
"106","d","4","1","2","136","89","81","44","0","4","0","1"
"27","d","2","1","0","137","90","67","1","0","4","0","1"
"288","j","0","0","-1","138","48","51","67","1","4","1","1"
