,Model,Predictive Accuracy,Participant Data,Params
214,Sparse,0.5021980187457437,4786413128_20220623.csv,0.0
215,CPT,0.7111583980392344,4833293935_20220607.csv,
216,MEU,0.5000000440516273,4833293935_20220607.csv,
217,BVAE,0.5795210477310793,4833293935_20220607.csv,0.0
218,CNN,0.5670074717357667,4833293935_20220607.csv,0.0
219,Sparse,0.4569330227775929,4833293935_20220607.csv,0.0
220,CPT,0.8802860611426554,5138618294_20220607.csv,
221,MEU,0.5480943655306542,5138618294_20220607.csv,
222,BVAE,0.7014924751021563,5138618294_20220607.csv,0.0
223,CNN,0.677572760277042,5138618294_20220607.csv,0.0
224,Sparse,0.34944914080279615,5138618294_20220607.csv,0.0
225,CPT,0.77956914616049,5144493038_20220602.csv,
226,MEU,0.5363285590194982,5144493038_20220602.csv,
227,BVAE,0.6547806541594077,5144493038_20220602.csv,0.0
228,CNN,0.6451292104971346,5144493038_20220602.csv,0.0
229,Sparse,0.4652528280132031,5144493038_20220602.csv,0.0
230,CPT,0.5186166492022221,5347559166_20220701.csv,
231,MEU,0.5037259605504207,5347559166_20220701.csv,
232,BVAE,0.502774230753285,5347559166_20220701.csv,0.0
233,CNN,0.5045884714963766,5347559166_20220701.csv,0.0
234,Sparse,0.5013341886309247,5347559166_20220701.csv,0.0
235,CPT,0.7853426404374547,5534437613_20220701.csv,
236,MEU,0.5396847778729128,5534437613_20220701.csv,
237,BVAE,0.6002180875899444,5534437613_20220701.csv,0.0
238,CNN,0.5647772346740714,5534437613_20220701.csv,0.0
239,Sparse,0.5022330824720829,5534437613_20220701.csv,0.0
240,CPT,0.5142558628953916,5552993317_20220602.csv,
241,MEU,0.5178603775598892,5552993317_20220602.csv,
242,BVAE,0.5130855006379377,5552993317_20220602.csv,0.0
243,CNN,0.5082931337733303,5552993317_20220602.csv,0.0
244,Sparse,0.49863133766073514,5552993317_20220602.csv,0.0
245,CPT,0.7141165744274349,5878990705_20220607.csv,
246,MEU,0.5032940553523634,5878990705_20220607.csv,
247,BVAE,0.5150049563140664,5878990705_20220607.csv,0.0
248,CNN,0.5429929572397377,5878990705_20220607.csv,0.0
249,Sparse,0.4798532003517286,5878990705_20220607.csv,0.0
250,CPT,0.5094828334856224,5979681843_20220623.csv,
251,MEU,0.5005445668308288,5979681843_20220623.csv,
252,BVAE,0.5113484419584425,5979681843_20220623.csv,0.0
253,CNN,0.4994086566817819,5979681843_20220623.csv,0.0
254,Sparse,0.49424552323291016,5979681843_20220623.csv,0.0
255,CPT,0.7266333322501848,6130248011_20220622.csv,
256,MEU,0.600943210490913,6130248011_20220622.csv,
257,BVAE,0.6194753527206589,6130248011_20220622.csv,0.0
258,CNN,0.6041906207795177,6130248011_20220622.csv,0.0
259,Sparse,0.46993462965914895,6130248011_20220622.csv,0.0
260,CPT,0.5926980261267735,6174180168_20220602.csv,
